order_date_full,order_year,order_month,product_category,total_orders,total_customers,state,total_revenue,total_revenue_usd,avg_order_value,avg_order_value_usd,cumulative_revenue_ytd_usd,mom_revenue_change_usd
2017-02-01,2017,02,cool_stuff,2,2,SC,233.24,65.31,116.62,32.65,539.49,-408.87
2017-02-01,2017,02,cool_stuff,23,23,SP,5158.25,1444.31,224.27,62.8,1917.55,971.07
2017-02-01,2017,02,cool_stuff,1,1,TO,139.07,38.94,139.07,38.94,38.94,
2017-02-01,2017,02,costruction_tools_garden,1,1,RJ,1249.36,349.82,1249.36,349.82,349.82,
2017-02-01,2017,02,dvds_blu_ray,1,1,PE,36.94,10.34,36.94,10.34,10.34,
2017-02-01,2017,02,electronics,1,1,BA,95.98,26.87,95.98,26.87,26.87,
2017-02-01,2017,02,electronics,1,1,MA,114.0,31.92,114.0,31.92,31.92,
2017-02-01,2017,02,electronics,1,1,MG,54.42,15.24,54.42,15.24,15.24,
2017-02-01,2017,02,electronics,2,2,MS,159.96,44.79,79.98,22.39,44.79,
2017-02-01,2017,02,electronics,1,1,PR,75.44,21.12,75.44,21.12,33.45,8.8
2017-02-01,2017,02,electronics,3,3,RJ,1270.01,355.6,423.34,118.53,391.45,319.76
2017-02-01,2017,02,electronics,1,1,RS,184.35,51.62,184.35,51.62,67.05,36.19
2017-02-01,2017,02,electronics,1,1,SC,217.68,60.95,217.68,60.95,60.95,
2017-02-01,2017,02,electronics,3,3,SP,165.97,46.47,55.32,15.49,174.82,-81.88
2017-02-01,2017,02,fashio_female_clothing,1,1,ES,131.51,36.82,131.51,36.82,36.82,
2017-02-01,2017,02,fashio_female_clothing,2,2,MG,283.09,79.27,141.55,39.63,79.27,
2017-02-01,2017,02,fashio_female_clothing,1,1,SP,105.17,29.45,105.17,29.45,38.79,20.11
2017-02-01,2017,02,fashion_bags_accessories,1,1,BA,55.75,15.61,55.75,15.61,60.53,-29.31
2017-02-01,2017,02,fashion_bags_accessories,1,1,DF,176.72,49.48,176.72,49.48,96.0,2.96
2017-02-01,2017,02,fashion_bags_accessories,2,2,GO,211.15,59.12,105.58,29.56,59.12,
